nohup: ignoring input
Model loaded
228278 sequences to download
0.0% done in 0.5921606500943501 minutes
1.66% done in 59.229860663414 minutes
3.33% done in 113.95844800869624 minutes
4.99% done in 168.25644296010336 minutes
6.66% done in 222.55059819618862 minutes
8.32% done in 276.6224059065183 minutes
9.99% done in 330.55046969652176 minutes
11.65% done in 384.32893552382785 minutes
13.32% done in 438.0221400340398 minutes
14.98% done in 491.8433645526568 minutes
16.65% done in 545.7441355188688 minutes
18.31% done in 599.405732679367 minutes
19.98% done in 652.7308968226115 minutes
21.64% done in 705.929808139801 minutes
23.31% done in 759.1146913965543 minutes
24.97% done in 812.2379015684128 minutes
26.64% done in 865.3155796488126 minutes
28.3% done in 918.382470579942 minutes
29.97% done in 971.4838151017825 minutes
31.63% done in 1024.6258840878804 minutes
33.29% done in 1078.1135126392046 minutes
34.96% done in 1132.3512717604638 minutes
36.62% done in 1186.556168194612 minutes
38.29% done in 1240.5656383593878 minutes
39.95% done in 1294.4204688986142 minutes
41.62% done in 1348.1157729029655 minutes
43.28% done in 1402.0034582297008 minutes
44.95% done in 1455.789124894142 minutes
46.61% done in 1509.351062043508 minutes
48.28% done in 1562.5940536379815 minutes
49.94% done in 1615.924622730414 minutes
51.61% done in 1669.2035588781039 minutes
53.27% done in 1722.4955934286118 minutes
54.94% done in 1775.8188543399176 minutes
56.6% done in 1829.3080880244572 minutes
58.27% done in 1882.806403474013 minutes
59.93% done in 1936.148698135217 minutes
61.59% done in 1989.5038326938948 minutes
63.26% done in 2042.9585827589035 minutes
64.92% done in 2096.2617242534957 minutes
66.59% done in 2149.5578687469165 minutes
68.25% done in 2202.7128757596015 minutes
69.92% done in 2255.9604863286017 minutes
71.58% done in 2309.308776545525 minutes
73.25% done in 2362.4340178608895 minutes
74.91% done in 2415.3679417490957 minutes
76.58% done in 2468.2539184729258 minutes
78.24% done in 2521.1521010160445 minutes
79.91% done in 2574.2340785702067 minutes
81.57% done in 2627.5300101995467 minutes
83.24% done in 2680.9273356199265 minutes
84.9% done in 2734.5876346707346 minutes
86.57% done in 2788.0971431215603 minutes
88.23% done in 2841.5795518716177 minutes
89.9% done in 2895.0723387559256 minutes
91.56% done in 2948.595377779007 minutes
93.22% done in 3002.125141839186 minutes
94.89% done in 3055.550767644246 minutes
96.55% done in 3109.0135391990343 minutes
98.22% done in 3162.4392887353897 minutes
99.88% done in 3215.9143651604654 minutes
Total time to process batch: 3219.14 minutes, 53.65 hours, 2.24 days

totale occupato: 2 Tera
