nohup: ignoring input
Model loaded
121252 sequences to download
0.0% done in 0.5135545015335083 minutes
3.13% done in 53.7473060965538 minutes
6.27% done in 106.79664340019227 minutes
9.4% done in 159.83798970778784 minutes
12.54% done in 212.85001566410065 minutes
15.67% done in 265.8128346125285 minutes
18.81% done in 318.84057252407075 minutes
21.94% done in 371.7256026347478 minutes
25.07% done in 424.65203679005305 minutes
28.21% done in 477.72682199875516 minutes
31.34% done in 530.6714204231898 minutes
34.48% done in 583.5550071159998 minutes
37.61% done in 636.3747697472572 minutes
40.75% done in 689.2939499894778 minutes
43.88% done in 742.4623688419659 minutes
47.01% done in 795.4848199884096 minutes
50.15% done in 848.2339944362641 minutes
53.28% done in 901.0701332012812 minutes
56.42% done in 953.8991871595383 minutes
59.55% done in 1006.7374736626942 minutes
62.69% done in 1059.6245092511176 minutes
65.82% done in 1112.5007193088531 minutes
68.95% done in 1165.3011103192964 minutes
72.09% done in 1218.0126095016797 minutes
75.22% done in 1270.7791663567225 minutes
78.36% done in 1323.7479135433832 minutes
81.49% done in 1376.719846411546 minutes
84.63% done in 1429.6081864356995 minutes
87.76% done in 1482.4842385927836 minutes
90.89% done in 1535.424475868543 minutes
94.03% done in 1588.414134589831 minutes
97.16% done in 1641.4242378433546 minutes
Total time to process batch: 1688.75 minutes, 28.15 hours, 1.17 days
