nohup: ignoring input
============================================================
<class 'transformers.tokenization_dna.DNATokenizer'>
==========Start Loading Pretrained Model==========
==========Finish Loading Pretrained Model==========
/home/gbini/miniconda3/envs/rnarna/lib/python3.9/site-packages/torch/_tensor.py:575: UserWarning: floor_divide is deprecated, and will be removed in a future version of pytorch. It currently rounds toward 0 (like the 'trunc' function NOT 'floor'). This results in incorrect rounding for negative values.
To keep the current behavior, use torch.div(a, b, rounding_mode='trunc'), or for actual floor division, use torch.div(a, b, rounding_mode='floor'). (Triggered internally at  /opt/conda/conda-bld/pytorch_1631630797748/work/aten/src/ATen/native/BinaryOps.cpp:467.)
  return torch.floor_divide(self, other)
Intercept 0.6918758312643265
Prediction_local [0.3978879]
Right: 0.6757000088691711
Intercept 0.577253879187372
Prediction_local [0.88339873]
Right: 0.8988000154495239
Intercept 0.5552129052493116
Prediction_local [0.87172252]
Right: 0.9611999988555908
Intercept 0.3652759499044939
Prediction_local [1.01053461]
Right: 0.9833999872207642
Intercept 0.3278320869690594
Prediction_local [0.93600318]
Right: 0.9882000088691711
Intercept 0.5804675622467832
Prediction_local [0.8714774]
Right: 0.8909000158309937
Intercept 0.6976624403508463
Prediction_local [0.73058642]
Right: 0.8634999990463257
Intercept 0.3799336030771851
Prediction_local [1.04278157]
Right: 0.9344000220298767
Intercept 0.6090601474281763
Prediction_local [0.6851745]
Right: 0.868399977684021
Intercept 0.3732304725353336
Prediction_local [0.96114914]
Right: 0.983299970626831
Intercept 0.4084227850253481
Prediction_local [0.9635494]
Right: 0.9811999797821045
Intercept 0.6014578187716139
Prediction_local [0.97093913]
Right: 0.979200005531311
Intercept 0.272851752330211
Prediction_local [0.81241803]
Right: 0.9302999973297119
Intercept 0.30282718596300634
Prediction_local [0.97803212]
Right: 0.989799976348877
Intercept 0.42025733942879995
Prediction_local [0.5356957]
Right: 0.916100025177002
Intercept 0.6095137063252158
Prediction_local [0.39692113]
Right: 0.7890999913215637
Intercept 0.5711381234706615
Prediction_local [0.99437554]
Right: 0.9926999807357788
Intercept 0.47431432721060224
Prediction_local [0.94412185]
Right: 0.9492999911308289
Intercept 0.41531937047384154
Prediction_local [0.93082051]
Right: 0.9876999855041504
Intercept 0.29702825959101453
Prediction_local [0.98570037]
Right: 0.9919000267982483
Intercept 0.49218420831330156
Prediction_local [0.74208771]
Right: 0.8513000011444092
Intercept 0.5955139235827179
Prediction_local [0.66983615]
Right: 0.9771000146865845
Intercept 0.5325697363268121
Prediction_local [0.58890609]
Right: 0.6017000079154968
Intercept 0.5171820464107354
Prediction_local [0.68336073]
Right: 0.6759999990463257
Intercept 0.46770944399591097
Prediction_local [0.93046272]
Right: 0.992900013923645
Intercept 0.2578645044678942
Prediction_local [0.75354431]
Right: 0.7832000255584717
Intercept 0.5894999011685281
Prediction_local [0.59099073]
Right: 0.9757000207901001
Intercept 0.8695574724367611
Prediction_local [0.54473232]
Right: 0.5573999881744385
Intercept 0.5685964498020525
Prediction_local [0.87207373]
Right: 0.9430999755859375
Intercept 0.6527969899046038
Prediction_local [0.56190247]
Right: 0.6902999877929688
Intercept 0.6744376284812068
Prediction_local [0.88718858]
Right: 0.9900000095367432
Intercept 0.7587671234804407
Prediction_local [0.70105283]
Right: 0.7731000185012817
Intercept 0.6523882084953664
Prediction_local [0.95887329]
Right: 0.9614999890327454
Intercept 0.6540142621393218
Prediction_local [0.84735251]
Right: 0.9254000186920166
Intercept 0.601162775452776
Prediction_local [0.67779257]
Right: 0.9431999921798706
Intercept 0.5471493960616091
Prediction_local [0.99274445]
Right: 0.9941999912261963
Intercept 0.5388391563141186
Prediction_local [0.95892686]
Right: 0.963699996471405
Intercept 0.6263586759604274
Prediction_local [0.95149886]
Right: 0.9545000195503235
Intercept 0.6892978128574273
Prediction_local [0.88745963]
Right: 0.8934000134468079
Intercept 0.64189292239372
Prediction_local [0.98008081]
Right: 0.9801999926567078
Intercept 0.632417164588686
Prediction_local [0.98466254]
Right: 0.9840999841690063
Intercept 0.4721747032039232
Prediction_local [0.96119499]
Right: 0.9754999876022339
Intercept 0.40362144785659004
Prediction_local [0.9517138]
Right: 0.9850999712944031
Intercept 0.6650859596077325
Prediction_local [0.85312743]
Right: 0.8921999931335449
Intercept 0.526030096114416
Prediction_local [0.78982057]
Right: 0.7924000024795532
Intercept 0.5159355639413832
Prediction_local [0.888486]
Right: 0.9668999910354614
Intercept 0.6605879830583693
Prediction_local [0.60305277]
Right: 0.8615999817848206
Intercept 0.579391794057065
Prediction_local [0.82141231]
Right: 0.916100025177002
